"","condition","sex","lower_age","upper_age","gbd_location_name","percentage_of_population","country"
"1","hello","Male",0,5,"Under 5",8e-04,"Afghanistan"
"2","Cardiovascular diseases","Male",5,10,"5 to 9",0.0057,"Afghanistan"
"3","Cardiovascular diseases","Male",10,15,"10 to 14",0.0091,"Afghanistan"
"4","Cardiovascular diseases","Male",15,20,"15 to 19",0.0175,"Afghanistan"
"5","Cardiovascular diseases","Male",20,25,"20 to 24",0.0154,"Afghanistan"
"6","Cardiovascular diseases","Male",25,30,"25 to 29",0.0189,"Afghanistan"
"7","Cardiovascular diseases","Male",30,35,"30 to 34",0.0231,"Afghanistan"
"8","Cardiovascular diseases","Male",35,40,"35 to 39",0.0366,"Afghanistan"
"9","Cardiovascular diseases","Male",40,45,"40 to 44",0.0727,"Afghanistan"
"10","Cardiovascular diseases","Male",45,50,"45 to 49",0.1008,"Afghanistan"
"11","Cardiovascular diseases","Male",50,55,"50 to 54",0.1421,"Afghanistan"
"12","Cardiovascular diseases","Male",55,60,"55 to 59",0.1967,"Afghanistan"
"13","Cardiovascular diseases","Male",60,65,"60 to 64",0.2665,"Afghanistan"
"14","Cardiovascular diseases","Male",65,70,"65 to 69",0.35,"Afghanistan"
"15","Cardiovascular diseases","Male",70,75,"70 to 74",0.4336,"Afghanistan"
"16","Cardiovascular diseases","Male",75,80,"75 to 79",0.5028,"Afghanistan"
"17","Cardiovascular diseases","Male",80,85,"80 to 84",0.5393,"Afghanistan"
"18","Cardiovascular diseases","Male",85,90,"85 to 89",0.5335,"Afghanistan"
"19","Cardiovascular diseases","Male",90,95,"90 to 94",0.5038,"Afghanistan"
"20","Cardiovascular diseases","Male",95,120,"95 plus",0.4654,"Afghanistan"
"21","Chronic kidney diseases","Male",0,5,"Under 5",0.0013,"Afghanistan"
"22","Chronic kidney diseases","Male",5,10,"5 to 9",0.0032,"Afghanistan"
"23","Chronic kidney diseases","Male",10,15,"10 to 14",0.0065,"Afghanistan"
"24","Chronic kidney diseases","Male",15,20,"15 to 19",0.0137,"Afghanistan"
"25","Chronic kidney diseases","Male",20,25,"20 to 24",0.0267,"Afghanistan"
"26","Chronic kidney diseases","Male",25,30,"25 to 29",0.0407,"Afghanistan"
"27","Chronic kidney diseases","Male",30,35,"30 to 34",0.0499,"Afghanistan"
"28","Chronic kidney diseases","Male",35,40,"35 to 39",0.0611,"Afghanistan"
"29","Chronic kidney diseases","Male",40,45,"40 to 44",0.0815,"Afghanistan"
"30","Chronic kidney diseases","Male",45,50,"45 to 49",0.1104,"Afghanistan"
"31","Chronic kidney diseases","Male",50,55,"50 to 54",0.1451,"Afghanistan"
"32","Chronic kidney diseases","Male",55,60,"55 to 59",0.193,"Afghanistan"
"33","Chronic kidney diseases","Male",60,65,"60 to 64",0.2596,"Afghanistan"
"34","Chronic kidney diseases","Male",65,70,"65 to 69",0.3388,"Afghanistan"
