"","condition","sex","lower_age","upper_age","gbd_location_name","percentage_of_population","country"
"1","Cardiovascular diseases","Both",0,5,"Under 5",8e-04,"Afghanistan"
"2","Cardiovascular diseases","Both",5,10,"5 to 9",0.0052,"Afghanistan"
"3","Cardiovascular diseases","Both",10,15,"10 to 14",0.0099,"Afghanistan"
"4","Cardiovascular diseases","Both",15,20,"15 to 19",0.0178,"Afghanistan"
"5","Cardiovascular diseases","Both",20,25,"20 to 24",0.0155,"Afghanistan"
"6","Cardiovascular diseases","Both",25,30,"25 to 29",0.0192,"Afghanistan"
"7","Cardiovascular diseases","Both",30,35,"30 to 34",0.0238,"Afghanistan"
"8","Cardiovascular diseases","Both",35,40,"35 to 39",0.0357,"Afghanistan"
"9","Cardiovascular diseases","Both",40,45,"40 to 44",1.5,"Afghanistan"
"10","Cardiovascular diseases","Both",45,50,"45 to 49",0.0972,"Afghanistan"
"11","Cardiovascular diseases","Both",50,55,"50 to 54",2.3,"Afghanistan"
"12","Cardiovascular diseases","Both",55,60,"55 to 59",0.1895,"Afghanistan"
"13","Cardiovascular diseases","Both",60,65,"60 to 64",1.1,"Afghanistan"
"14","Cardiovascular diseases","Both",65,70,"65 to 69",0.3389,"Afghanistan"
"15","Cardiovascular diseases","Both",70,75,"70 to 74",0.4194,"Afghanistan"
"16","Cardiovascular diseases","Both",75,80,"75 to 79",0.4904,"Afghanistan"
"17","Cardiovascular diseases","Both",80,85,"80 to 84",0.5299,"Afghanistan"
"18","Cardiovascular diseases","Both",85,90,"85 to 89",0.5294,"Afghanistan"
"19","Cardiovascular diseases","Both",90,95,"90 to 94",0.503,"Afghanistan"
"20","Cardiovascular diseases","Both",95,120,"95 plus",0.4674,"Afghanistan"
"21","Chronic kidney diseases","Both",0,5,"Under 5",0.0015,"Afghanistan"
"22","Chronic kidney diseases","Both",5,10,"5 to 9",0.0038,"Afghanistan"
"23","Chronic kidney diseases","Both",10,15,"10 to 14",0.0081,"Afghanistan"
"24","Chronic kidney diseases","Both",15,20,"15 to 19",0.0167,"Afghanistan"
"25","Chronic kidney diseases","Both",20,25,"20 to 24",0.0317,"Afghanistan"
"26","Chronic kidney diseases","Both",25,30,"25 to 29",0.0488,"Afghanistan"
"27","Chronic kidney diseases","Both",30,35,"30 to 34",0.0624,"Afghanistan"
"28","Chronic kidney diseases","Both",35,40,"35 to 39",0.0792,"Afghanistan"
"29","Chronic kidney diseases","Both",40,45,"40 to 44",0.1058,"Afghanistan"
"30","Chronic kidney diseases","Both",45,50,"45 to 49",0.1416,"Afghanistan"
"31","Chronic kidney diseases","Both",50,55,"50 to 54",0.1836,"Afghanistan"
"32","Chronic kidney diseases","Both",55,60,"55 to 59",0.2394,"Afghanistan"
"33","Chronic kidney diseases","Both",60,65,"60 to 64",0.3154,"Afghanistan"
"34","Chronic kidney diseases","Both",65,70,"65 to 69",0.4064,"Afghanistan"
"35","Chronic kidney diseases","Both",70,75,"70 to 74",0.5076,"Afghanistan"
"36","Chronic kidney diseases","Both",75,80,"75 to 79",0.5948,"Afghanistan"
"37","Chronic kidney diseases","Both",80,85,"80 to 84",0.6658,"Afghanistan"
"38","Chronic kidney diseases","Both",85,90,"85 to 89",0.7104,"Afghanistan"
"39","Chronic kidney diseases","Both",90,95,"90 to 94",0.7426,"Afghanistan"
"40","Chronic kidney diseases","Both",95,120,"95 plus",0.7804,"Afghanistan"
"41","Chronic respiratory diseases","Both",0,5,"Under 5",0.0097,"Afghanistan"
"42","Chronic respiratory diseases","Both",5,10,"5 to 9",0.0134,"Afghanistan"
"43","Chronic respiratory diseases","Both",10,15,"10 to 14",0.0113,"Afghanistan"
"44","Chronic respiratory diseases","Both",15,20,"15 to 19",0.0176,"Afghanistan"
"45","Chronic respiratory diseases","Both",20,25,"20 to 24",0.0309,"Afghanistan"
"46","Chronic respiratory diseases","Both",25,30,"25 to 29",0.0418,"Afghanistan"
"47","Chronic respiratory diseases","Both",30,35,"30 to 34",0.0512,"Afghanistan"
"48","Chronic respiratory diseases","Both",35,40,"35 to 39",0.0604,"Afghanistan"
"49","Chronic respiratory diseases","Both",40,45,"40 to 44",0.071,"Afghanistan"
"50","Chronic respiratory diseases","Both",45,50,"45 to 49",0.0847,"Afghanistan"
"51","Chronic respiratory diseases","Both",50,55,"50 to 54",0.102,"Afghanistan"
"52","Chronic respiratory diseases","Both",55,60,"55 to 59",0.1356,"Afghanistan"
"53","Chronic respiratory diseases","Both",60,65,"60 to 64",0.1599,"Afghanistan"
"54","Chronic respiratory diseases","Both",65,70,"65 to 69",0.188,"Afghanistan"
